"","state","stateabb","year","binge_all","binge_female","binge_male","poverty"
"1","Alabama","AL",2011,13.7,7.9,20.2,19
"2","Alabama","AL",2012,12.3,7,18.2,19
"3","Alabama","AL",2013,11.2,6.5,16.3,18.7
"4","Alabama","AL",2014,12,6.8,17.9,19.3
"5","Alabama","AL",2015,11.6,7.5,16.2,18.5
"6","Alabama","AL",2016,13,8.8,17.6,17.1
"7","Alaska","AK",2011,20.8,15.6,26,10.5
"8","Alaska","AK",2012,16.8,12.7,20.5,10.1
"9","Alaska","AK",2013,19.5,14.8,23.8,9.3
"10","Alaska","AK",2014,20.2,14.8,25.3,11.2
"11","Alaska","AK",2015,20.3,16.4,23.9,10.3
"12","Alaska","AK",2016,18.2,15.1,21,9.9
"13","Arizona","AZ",2011,17.6,11.7,23.6,19
"14","Arizona","AZ",2012,15.3,9.7,21.1,18.7
"15","Arizona","AZ",2013,13.4,9.1,18,18.6
"16","Arizona","AZ",2014,14.9,9.1,21.1,18.2
"17","Arizona","AZ",2015,14.2,8.3,20.3,17.4
"18","Arizona","AZ",2016,15.6,10.1,21.3,16.4
"19","Arkansas","AR",2011,14.1,9.2,19.2,19.5
"20","Arkansas","AR",2012,11.8,7.7,16.3,19.8
"21","Arkansas","AR",2013,12.5,8,17.5,19.7
"22","Arkansas","AR",2014,13.3,8.9,17.9,18.9
"23","Arkansas","AR",2015,14.1,8.8,19.8,19.1
"24","Arkansas","AR",2016,15,9.8,20.6,17.2
"25","California","CA",2011,18.6,12.1,25.2,16.6
"26","California","CA",2012,16.9,10.9,23.2,17
"27","California","CA",2013,17.4,11.9,23.3,16.8
"28","California","CA",2014,15.6,11.1,20.3,16.4
"29","California","CA",2015,16.5,11.7,21.4,15.3
"30","California","CA",2016,16.3,11.2,21.5,14.3
"31","Colorado","CO",2011,20.1,14,26.3,13.5
"32","Colorado","CO",2012,19.2,13.8,24.7,13.7
"33","Colorado","CO",2013,18.5,13.5,23.6,13
"34","Colorado","CO",2014,17.5,12.2,22.8,12
"35","Colorado","CO",2015,17.6,12.4,23,11.5
"36","Colorado","CO",2016,19,13.9,24.2,11
"37","Connecticut","CT",2011,17.9,11.9,24.4,10.9
"38","Connecticut","CT",2012,17.5,12.6,22.9,10.7
"39","Connecticut","CT",2013,18.2,12.5,24.3,10.7
"40","Connecticut","CT",2014,15.9,11.3,20.8,10.8
"41","Connecticut","CT",2015,16.9,11.1,23.1,10.5
